pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HATS-36 b,HATS-36,1,1,Transit,2018,HATSouth,4.175186,0.0523,12.92,1022.14128,0.105,1203,G0 V,5950,1.1,1.1,0.15,4.4,856.436,14.364,12.809,14.233
HATS-4 b,HATS-4,1,1,Transit,2014,HATSouth,2.516729,0.0362,11.433,420.471,0.013,1315,G,5403,0.93,1,0.43,4.51,416.459,13.516,11.612,13.2862
HATS-5 b,HATS-5,1,1,Transit,2014,HATSouth,4.763387,0.0542,10.223,75.323,0.019,1025,G,5304,0.87,0.94,0.19,4.53,246.384,12.598,10.703,12.4288
HATS-6 b,HATS-6,1,1,Transit,2015,HATSouth,3.3252725,0.03623,11.187,101.38777,0,713,M1 V,3724,0.57,0.57,0.2,4.68,169.318,15.044,11.224,14.3601
HATS-7 b,HATS-7,1,1,Transit,2015,HATSouth,3.185315,0.04012,6.311,38.1396,0.17,1084,K2,4985,0.81,0.85,0.25,4.54,240.707,13.347,10.976,13.0499
HATS-71 b,HATS-71,1,1,Transit,2020,HATSouth,3.7955202,0.03745,11.478,117.5971,0,587,M3 V,3405,0.48,0.49,0.17,4.77,140.225,16.437,11.727,15.3512
HD 106315 b,HD 106315,1,2,Transit,2017,K2,9.55237,0.0907,2.44,12.6,0.093,1153,F5 V,6327,1.3,1.09,-0.311,4.25,109.353,8.951,7.853,8.88841
HD 106315 c,HD 106315,1,2,Transit,2017,K2,21.05704,0.1536,4.35,15.2,0.22,886,F5 V,6327,1.3,1.09,-0.311,4.25,109.353,8.951,7.853,8.88841
HD 108147 b,HD 108147,1,1,Radial Velocity,2002,La Silla Observatory,10.8985,0.102,10.9,82.95,0.53,890,F8 V CH+0.4,6255.73,1.21,1.22,0.18,4.36,38.92,6.99,5.721,6.85345
HD 108236 b,HD 108236,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.795963,0.04527,1.615,3.24,0.045,1099,G3 V,5660,0.88,0.87,-0.28,4.49,64.5978,9.25,7.637,9.08745
HD 108236 c,HD 108236,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),6.203449,0.062,2.071,4.94,0.034,932,G3 V,5660,0.88,0.87,-0.28,4.49,64.5978,9.25,7.637,9.08745
HD 108236 d,HD 108236,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),14.175685,0.1074,2.539,6.98,0.055,708,G3 V,5660,0.88,0.87,-0.28,4.49,64.5978,9.25,7.637,9.08745
HD 108236 e,HD 108236,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),19.590025,0.1367,3.083,9.71,0.058,636,G3 V,5660,0.88,0.87,-0.28,4.49,64.5978,9.25,7.637,9.08745
HD 109286 b,HD 109286,1,1,Radial Velocity,2021,Haute-Provence Observatory,520.1,1.259,13.2,950.30694,0.338,259,G4 V,5694,1.09,0.98,0.05,4.44,55.4156,8.78,7.162,8.61599
