pl_name,hostname,starsnum,planetsnum,discoverymethod,disc_year,disc_facility,orbital_period,pl_orbsmax,pl_radius,pl_mass,pl_orbeccen,pl_eqtemp,st_spectype,st_eff_temp,st_radius,st_mass,st_met,st_surface_gravity,sy_distance,sy_vmag,sy_kmag,sy_gaiamag
Kepler-1439 b,Kepler-1439,1,1,Transit,2016,Kepler,8.07392849,0.0594,1.46,2.73,0,420,,3578,0.43,0.46,-0.03,4.83,225.393,17.0484,12.744,16.0979
Kepler-144 b,Kepler-144,1,2,Transit,2014,Kepler,5.885273,0.066,1.33,2.33,0,1253,,6075,1.24,1.15,-0.185,4.29,384.917,12.195,10.792,11.9438
Kepler-144 c,Kepler-144,1,2,Transit,2014,Kepler,10.104665,0.094,1.35,2.39,0,1046,,6075,1.24,1.15,-0.185,4.29,384.917,12.195,10.792,11.9438
Kepler-1440 b,Kepler-1440,1,1,Transit,2016,Kepler,39.859484,0.2274,1.26,2.13,0,597,,5698,0.96,0.98,0.04,4.46,1115.35,14.24,12.561,14.1018
Kepler-1441 b,Kepler-1441,1,1,Transit,2016,Kepler,39.4419839,0.2346,1.31,2.27,0,682,,5802,1,1,0.01,4.45,1110.48,14.29,12.688,14.2567
Kepler-1442 b,Kepler-1442,1,1,Transit,2016,Kepler,81.4162941,0.4039,3.93,14.7,0,522,,6394,1.44,1.34,0.26,4.25,608.68,12.114,10.967,12.0303
Kepler-1443 b,Kepler-1443,1,1,Transit,2016,Kepler,2.41811321,0.0368,0.97,0.871,0,1602,,6289,1.27,1.19,0,4.3,593.646,12.313,11.021,12.212
Kepler-1444 b,Kepler-1444,1,1,Transit,2016,Kepler,33.42035034,0.2015,2.18,5.39,0,581,,5810,1.05,1.03,0.06,4.4,319.675,12.363,10.813,12.2578
Kepler-1445 b,Kepler-1445,1,1,Transit,2016,Kepler,10.60052251,0.0948,0.96,0.84,0,987,,6150,1.26,1.13,-0.03,4.28,506.357,12.407,11.114,12.4184
Kepler-1446 b,Kepler-1446,1,1,Transit,2016,Kepler,0.68996783,0.0141,0.82,0.477,0,1539,,4865,0.75,0.81,0.11,4.6,152.075,12.595,10.204,12.4086
Kepler-1447 b,Kepler-1447,1,1,Transit,2016,Kepler,56.6747285,0.2836,2.9,8.75,0,522,,5722,0.95,0.97,-0.03,4.47,890.296,14.747,13.124,14.6643
Kepler-1448 b,Kepler-1448,1,1,Transit,2016,Kepler,12.27065865,0.1058,1.61,3.22,0,811,,5774,0.93,0.95,-0.16,4.49,768.903,14.592,12.932,14.3796
Kepler-1449 b,Kepler-1449,1,1,Transit,2016,Kepler,13.2274528,0.1176,1.68,3.46,0,867,,5979,1.1,1.08,0.04,4.39,2006.48,15.142,13.64,15.0306
Kepler-145 b,Kepler-145,1,2,Transit,2013,Kepler,22.951,0.1699,2.65,37.1,0.43,873,,6022,1.85,1.32,-0.001,4.02,566.85,11.977,10.628,11.8746
Kepler-145 c,Kepler-145,1,2,Transit,2013,Kepler,42.882,0.2578,4.32,79.4,0.11,709,,6022,1.85,1.32,-0.001,4.02,566.85,11.977,10.628,11.8746
Kepler-1450 b,Kepler-1450,1,1,Transit,2016,Kepler,54.5094166,0.2401,1.71,3.57,0,308,,4524,0.68,0.71,-0.02,4.63,505.829,15.923,12.908,15.4892
Kepler-1451 b,Kepler-1451,1,1,Transit,2016,Kepler,35.622233,0.2101,3.35,11.2,0,523,,5782,0.99,1,0.01,4.45,1058.72,15.313,13.66,15.2999
Kepler-1452 b,Kepler-1452,1,1,Transit,2016,Kepler,42.913751,0.2697,2.7,7.75,0,810,,6101,2.06,1.41,0.14,3.95,996.32,13.215,11.635,13.0714
Kepler-1453 b,Kepler-1453,1,1,Transit,2016,Kepler,47.1611696,0.262,2.67,7.61,0,503,,5665,0.94,0.97,0.01,4.48,1196.04,15.695,13.999,15.5278
Kepler-1454 b,Kepler-1454,1,1,Transit,2016,Kepler,47.0319479,0.2447,1.88,4.19,0,492,,5448,0.86,0.9,-0.02,4.53,780.566,15.009,13.189,14.8994
Kepler-1455 b,Kepler-1455,1,1,Transit,2016,Kepler,49.276764,0.2149,2.16,5.31,0,298,,4075,0.6,0.62,-0.02,4.68,357.621,16.06,12.922,15.8657
Kepler-1456 b,Kepler-1456,1,1,Transit,2016,Kepler,18.1373829,0.1132,1.14,1.55,0,433,,4231,0.62,0.64,-0.09,4.67,370.312,15.777,12.681,15.445
Kepler-1457 b,Kepler-1457,1,1,Transit,2016,Kepler,51.1110243,0.2668,1.99,4.62,0,478,,5866,1.01,1.01,-0.05,4.43,889.885,14.066,12.542,14.0283
Kepler-1458 b,Kepler-1458,1,1,Transit,2016,Kepler,47.9872764,0.2495,2.76,8.05,0,493,,5653,0.94,0.96,0.02,4.48,544.45,14.434,12.509,14.1996
Kepler-1459 b,Kepler-1459,1,1,Transit,2016,Kepler,62.8691611,0.2829,1.36,2.42,0,349,,4828,0.74,0.78,0.01,4.61,455.479,14.893,12.384,14.5519
Kepler-146 b,Kepler-146,1,2,Transit,2014,Kepler,31.158799,0.2,3.71,13.3,0,639,,5948,1.21,1.1,-0.026,4.31,716.797,13.921,12.475,13.8031
Kepler-146 c,Kepler-146,1,2,Transit,2014,Kepler,76.732171,0.364,3.13,9.96,0,473,,5948,1.21,1.1,-0.026,4.31,716.797,13.921,12.475,13.8031
Kepler-1460 b,Kepler-1460,1,1,Transit,2016,Kepler,29.9633247,0.1614,1.96,4.5,0,391,,4422,0.67,0.7,-0.02,4.64,553.218,16.166,13.359,15.9191
Kepler-1461 b,Kepler-1461,1,1,Transit,2016,Kepler,29.3494775,0.1715,2.03,4.78,0,451,,4919,0.74,0.79,-0.04,4.6,679.106,15.828,13.471,15.6949
Kepler-1462 b,Kepler-1462,1,1,Transit,2016,Kepler,65.6488341,0.3094,3.82,14,0,390,,5756,1,1,0.06,4.45,1017.82,15.888,14.058,15.8562
Kepler-1463 b,Kepler-1463,1,1,Transit,2016,Kepler,25.15864,0.1694,1.86,4.12,0,619,,5679,0.95,0.96,0,4.47,1687.47,15.905,14.015,15.7236
Kepler-1464 b,Kepler-1464,1,2,Transit,2016,Kepler,31.7785901,0.1803,1.66,3.39,0,564,,5828,1.01,1.02,0.03,4.44,1151.73,14.358,12.507,14.1296
Kepler-1464 c,Kepler-1464,1,2,Transit,2016,Kepler,5.32786292,0.0548,1,0.972,0,1023,,5828,1.01,1.02,0.03,4.44,1151.73,14.358,12.507,14.1296
Kepler-1465 b,Kepler-1465,1,1,Transit,2016,Kepler,31.8277111,0.1939,1.77,3.78,0,668,,4726,0.71,0.75,-0.06,4.62,359.497,14.724,12.043,14.42
Kepler-1466 b,Kepler-1466,1,1,Transit,2016,Kepler,31.1750448,0.1942,1.55,3.02,0,585,,5884,1.02,1.01,-0.07,4.43,631.949,14.026,12.408,13.8694
Kepler-1467 b,Kepler-1467,1,1,Transit,2016,Kepler,47.0569043,0.2388,3.3,10.9,0,411,,5332,0.82,0.86,-0.07,4.55,852.888,15.83,13.577,15.5207
Kepler-1468 b,Kepler-1468,1,2,Transit,2016,Kepler,8.23984869,0.0817,1.73,3.64,0,1093,,5893,1.05,1.04,0.03,4.42,1899.24,15.111,13.458,14.9515
Kepler-1468 c,Kepler-1468,1,2,Transit,2016,Kepler,3.54553021,0.0466,1.15,1.6,0,1448,,5893,1.05,1.04,0.03,4.42,1899.24,15.111,13.458,14.9515
Kepler-1469 b,Kepler-1469,1,1,Transit,2016,Kepler,21.8635301,0.1466,2.8,8.25,0,551,,5507,0.89,0.92,0.02,4.51,1159.3,16.2388,14.119,15.9891
Kepler-147 b,Kepler-147,1,2,Transit,2014,Kepler,12.610584,0.113,1.53,2.96,0,953,,6012,1.47,1.14,0.07,4.18,1042.02,14.134,12.416,13.9151
Kepler-147 c,Kepler-147,1,2,Transit,2014,Kepler,33.416423,0.216,2.43,6.48,0,689,,6012,1.47,1.14,0.07,4.18,1042.02,14.134,12.416,13.9151
Kepler-1470 b,Kepler-1470,1,1,Transit,2016,Kepler,16.2950903,0.116,1.07,1.24,0,574,,4961,0.76,0.8,-0.01,4.59,590.601,15.252,12.896,15.0436
Kepler-1471 b,Kepler-1471,1,1,Transit,2016,Kepler,3.63899398,0.0453,1.41,2.57,0,1238,,5660,0.93,0.95,-0.03,4.48,978.678,15.421,13.604,15.246
Kepler-1472 b,Kepler-1472,1,1,Transit,2016,Kepler,38.1312831,0.2322,1.9,4.27,0,613,,6159,1.25,1.16,0.03,4.31,1479.14,14.666,13.255,14.5898
Kepler-1473 b,Kepler-1473,1,1,Transit,2016,Kepler,14.4273551,0.116,1.19,1.81,0,783,,6046,1.09,1.09,-0.01,4.4,652.253,13.486,12.009,13.3679
Kepler-1474 b,Kepler-1474,1,1,Transit,2016,Kepler,36.4333452,0.2108,2.16,5.31,0,561,,5870,1.04,1.04,0.04,4.42,1180.9,15.35,13.621,15.2172
Kepler-1475 b,Kepler-1475,1,1,Transit,2016,Kepler,82.177374,0.373,2.92,8.85,0,441,,6214,1.28,1.18,0.03,4.29,1568.38,15.36,13.88,15.2775
Kepler-1476 b,Kepler-1476,1,1,Transit,2016,Kepler,10.35863224,0.0932,1.67,3.43,0,860,,5663,0.96,0.98,0.06,4.47,1002.74,15.574,13.828,15.4086
Kepler-1477 b,Kepler-1477,1,1,Transit,2016,Kepler,11.55530021,0.0911,1.18,1.76,0,674,,5100,0.78,0.81,-0.06,4.58,680.828,14.72,12.594,14.5763
Kepler-1478 b,Kepler-1478,1,1,Transit,2016,Kepler,26.0840594,0.1681,1.73,3.64,0,598,,5904,1.06,1.04,0.03,4.41,1845.58,15.409,13.873,15.3994
Kepler-1479 b,Kepler-1479,1,1,Transit,2016,Kepler,14.53261362,0.1173,1.83,4.01,0,746,,5796,0.98,0.99,-0.02,4.45,728.668,13.914,12.256,13.7331
Kepler-148 b,Kepler-148,1,3,Transit,2014,Kepler,1.729366,0.028,1.8,3.89,0,1284,,5272,0.85,0.86,0.14,4.55,791.163,15.398,13.359,15.3362
Kepler-148 c,Kepler-148,1,3,Transit,2014,Kepler,4.180043,0.05,3.6,12.6,0,957,,5272,0.85,0.86,0.14,4.55,791.163,15.398,13.359,15.3362
Kepler-148 d,Kepler-148,1,3,Transit,2016,Kepler,51.84688575,0.2607,8.68,56.3,0,413,,5172,0.81,0.86,0.07,4.56,791.163,15.398,13.359,15.3362
Kepler-1480 b,Kepler-1480,2,1,Transit,2016,Kepler,22.12679948,0.1525,1.67,3.43,0,721,,5156,0.81,0.85,0.07,4.56,500.892,14.703,12.584,14.4824
Kepler-1481 b,Kepler-1481,1,1,Transit,2016,Kepler,5.94220998,0.059,1.23,2.04,0,797,,4908,0.75,0.8,0.04,4.6,459.076,14.929,12.603,14.7429
Kepler-1482 b,Kepler-1482,1,1,Transit,2016,Kepler,12.25383217,0.1016,1.01,1.01,0,678,,5381,0.84,0.88,-0.04,4.54,567.556,13.967,11.996,13.7295
Kepler-1483 b,Kepler-1483,1,1,Transit,2016,Kepler,9.5085156,0.0958,1.52,2.92,0,1131,,6337,1.4,1.25,0.04,4.24,1273.78,14.52,13.077,14.4231
Kepler-1484 b,Kepler-1484,1,1,Transit,2016,Kepler,30.4549136,0.1939,2.11,5.1,0,624,,5730,0.92,0.94,-0.17,4.49,2879.83,15.351,13.646,15.2474
Kepler-1485 b,Kepler-1485,1,1,Transit,2016,Kepler,19.9157725,0.1467,1.47,2.76,0,728,,6087,1.12,1.11,0.02,4.39,615.66,13.411,11.724,13.1796
Kepler-1486 b,Kepler-1486,1,1,Transit,2016,Kepler,54.6495759,0.2846,2.32,5.99,0,538,,5965,1.12,1.08,0.06,4.38,1769.14,15.317,13.896,15.2937
Kepler-1487 b,Kepler-1487,1,1,Transit,2016,Kepler,7.31946363,0.0898,2.13,5.18,0,1682,,6541,1.63,1.38,0.04,4.16,1014.62,13.6,12.289,13.4508
Kepler-1488 b,Kepler-1488,1,1,Transit,2016,Kepler,39.8189932,0.2285,1.86,4.12,0,650,,5820,1.31,1.05,0.06,4.22,905.825,13.146,11.638,13.0767
Kepler-1489 b,Kepler-1489,1,1,Transit,2016,Kepler,82.294751,0.3679,1.77,3.78,0,400,,5655,0.9,0.93,-0.13,4.51,1283.05,14.983,13.247,14.8084
Kepler-149 b,Kepler-149,1,3,Transit,2014,Kepler,29.198943,0.184,4.21,16.5,0,540,,5381,0.95,0.92,0.381,4.46,571.034,14.152,12.184,14.0194
Kepler-149 c,Kepler-149,1,3,Transit,2014,Kepler,55.328328,0.281,1.61,3.22,0,436,,5381,0.95,0.92,0.381,4.46,571.034,14.152,12.184,14.0194
Kepler-149 d,Kepler-149,1,3,Transit,2014,Kepler,160.018032,0.571,3.96,14.9,0,306,,5381,0.95,0.92,0.381,4.46,571.034,14.152,12.184,14.0194
Kepler-1490 b,Kepler-1490,1,1,Transit,2016,Kepler,92.4362973,0.3729,3.04,9.48,0,348,,5515,0.87,0.9,-0.08,4.52,862.92,15.616,13.616,15.4179
Kepler-1491 b,Kepler-1491,1,1,Transit,2016,Kepler,16.5861762,0.127,1.51,2.89,0,821,,5728,0.99,1,0.06,4.45,2065.59,15.796,13.949,15.5695
Kepler-1492 b,Kepler-1492,1,1,Transit,2016,Kepler,16.75255007,0.1262,1.49,2.83,0,801,,4712,0.72,0.77,0.06,4.62,331.553,14.689,12.158,14.4962
Kepler-1493 b,Kepler-1493,1,1,Transit,2016,Kepler,15.0217983,0.1197,1.41,2.57,0,874,,5863,1.29,1.06,0.06,4.24,555.051,13.7192,11.53,13.5532
Kepler-1494 b,Kepler-1494,1,1,Transit,2016,Kepler,91.080482,0.3982,3.07,9.64,0,415,,5659,0.94,0.96,0.01,4.48,1285.48,15.372,13.536,15.217
Kepler-1495 b,Kepler-1495,1,1,Transit,2016,Kepler,85.273256,0.3677,2.94,8.96,0,443,,5831,1.04,1.03,0.06,4.42,1355.54,15.494,13.845,15.6247
Kepler-1496 b,Kepler-1496,1,1,Transit,2016,Kepler,64.6588017,0.3211,2.22,5.56,0,535,,6182,1.27,1.18,0.05,4.29,1307.66,14.832,13.225,14.6819
Kepler-1497 b,Kepler-1497,1,1,Transit,2016,Kepler,8.74199772,0.0817,1.66,3.39,0,924,,5675,0.95,0.96,0.01,4.47,1122,15.707,13.699,15.3761
Kepler-1498 b,Kepler-1498,1,1,Transit,2016,Kepler,48.051405,0.2528,1.33,2.33,0,564,,5256,0.81,0.86,-0.01,4.56,740,15.352,13.238,15.0997
Kepler-1499 b,Kepler-1499,1,1,Transit,2016,Kepler,44.2008,0.2196,1.19,1.81,0,409,,5097,0.78,0.82,-0.01,4.58,309.869,13.676,11.455,13.5155
Kepler-15 b,Kepler-15,1,1,Transit,2011,Kepler,4.942782,0.05714,10.76,209.76,0.06,1251,,5515,0.99,1.02,0.36,4.46,739.412,13.81,12.216,13.7136
Kepler-150 b,Kepler-150,1,5,Transit,2014,Kepler,3.428054,0.044,1.25,2.1,0,1131,,5560,0.94,0.94,-0.02,4.47,891.092,15.161,13.367,14.9743
Kepler-150 c,Kepler-150,1,5,Transit,2014,Kepler,7.381998,0.073,3.69,13.2,0,876,,5560,0.94,0.94,-0.02,4.47,891.092,15.161,13.367,14.9743
Kepler-150 d,Kepler-150,1,5,Transit,2014,Kepler,12.56093,0.104,2.79,8.2,0,734,,5560,0.94,0.94,-0.02,4.47,891.092,15.161,13.367,14.9743
Kepler-150 e,Kepler-150,1,5,Transit,2014,Kepler,30.826557,0.189,3.12,9.91,0,544,,5560,0.94,0.94,-0.02,4.47,891.092,15.161,13.367,14.9743
Kepler-150 f,Kepler-150,1,5,Transit,2017,Kepler,637.2093,1.24,3.64,12.9,,,,5528,0.91,0.97,-0.02,4.51,891.092,15.161,13.367,14.9743
Kepler-1500 b,Kepler-1500,1,1,Transit,2016,Kepler,15.0330105,0.1236,1.2,1.87,0,928,,5845,1,1,-0.05,4.44,1217.82,14.728,13.03,14.5804
Kepler-1501 b,Kepler-1501,1,1,Transit,2016,Kepler,14.5564533,0.1228,1.56,3.05,0,787,,6229,1.3,1.2,0.04,4.28,749.06,13.683,12.364,13.6458
Kepler-1502 b,Kepler-1502,1,1,Transit,2016,Kepler,41.7083629,0.2482,3.18,10.2,0,608,,6666,1.72,1.44,0.05,4.13,1514.02,14.18,12.907,14.0931
Kepler-1503 b,Kepler-1503,1,1,Transit,2016,Kepler,96.16987,0.3771,2.27,5.77,0,321,,5069,0.74,0.77,-0.19,4.59,1225.57,15.892,13.767,15.7862
Kepler-1504 b,Kepler-1504,1,1,Transit,2016,Kepler,82.304003,0.3704,2.13,5.18,0,485,,5393,0.81,0.85,-0.17,4.55,2435.94,15.883,13.834,15.6311
Kepler-1505 b,Kepler-1505,1,1,Transit,2016,Kepler,30.8609366,0.1862,0.93,0.749,0,525,,5686,0.86,0.93,-0.18,4.54,495.148,13.043,11.406,12.9258
Kepler-1506 b,Kepler-1506,1,1,Transit,2016,Kepler,14.0329154,0.1168,1.32,2.3,0,783,,5676,0.93,0.95,-0.05,4.49,2366.02,15.836,14.082,15.6243
Kepler-1507 b,Kepler-1507,1,1,Transit,2016,Kepler,16.0506213,0.1234,0.84,0.52,0,630,,5410,0.85,0.89,-0.03,4.53,320.478,13.267,11.386,13.1038
Kepler-1508 b,Kepler-1508,1,1,Transit,2016,Kepler,20.7056504,0.1629,1.33,2.33,0,967,,6158,1.22,1.14,0.01,4.32,1260.28,14.561,12.603,14.3466
Kepler-1509 b,Kepler-1509,1,1,Transit,2016,Kepler,25.4338197,0.1707,1.85,4.08,0,667,,5780,0.99,1,0.03,4.45,2002.96,15.455,13.887,15.3316
Kepler-151 b,Kepler-151,1,2,Transit,2014,Kepler,15.228958,0.116,3.06,9.59,0,639,,5460,0.83,0.87,0.124,4.55,649.919,14.957,12.864,14.7189
Kepler-151 c,Kepler-151,1,2,Transit,2014,Kepler,24.674612,0.16,2.09,5.02,0,544,,5460,0.83,0.87,0.124,4.55,649.919,14.957,12.864,14.7189
Kepler-1510 b,Kepler-1510,1,1,Transit,2016,Kepler,84.703921,0.4089,3.36,11.2,0,537,,6200,1.28,1.19,0.04,4.29,1696.25,15.315,13.728,15.1424
Kepler-1511 b,Kepler-1511,1,1,Transit,2016,Kepler,23.2382792,0.1753,1.68,3.46,0,903,,6064,1.29,1.17,0.14,4.28,1475.6,13.564,12.471,13.5024
Kepler-1512 b,Kepler-1512,1,1,Transit,2016,Kepler,20.35972599,0.1097,1.18,1.76,0,322,,4372,0.67,0.73,0.2,4.64,162,13.451,10.623,13.2634
Kepler-1513 b,Kepler-1513,1,1,Transit,2016,Kepler,160.8846509,0.5416,8.46,53.9,0,346,,5617,0.97,0.99,0.14,4.46,349.247,13.071,11.309,12.9559
Kepler-1514 b,Kepler-1514,1,2,Transit,2016,Kepler,217.83184,0.753,12.42,1678.1424,0.401,388,,6145,1.29,1.2,0.119,4.29,397.292,11.766,10.688,11.8292
Kepler-1514 c,Kepler-1514,1,2,Transit,2020,Kepler,10.514181,0.0997,1.176,1.74,0.32,1066,,6145,1.29,1.2,0.119,4.29,397.292,11.766,10.688,11.8292
Kepler-1515 b,Kepler-1515,1,1,Transit,2016,Kepler,214.3114164,0.7655,9.55,66.2,0,380,,6511,1.41,1.3,0.07,4.26,539.321,12.1,10.886,11.9975
Kepler-1516 b,Kepler-1516,1,1,Transit,2016,Kepler,7.25931979,0.0718,1.75,3.71,0,967,,5904,1.07,1.04,0.03,4.4,1358.95,14.65,12.815,14.4469
Kepler-1517 b,Kepler-1517,1,1,Transit,2016,Kepler,5.54608367,0.078,9.76,68.7,0,2336,,7010,1.95,1.58,0.01,4.06,847.299,12.228,11.303,12.1739
Kepler-1518 b,Kepler-1518,1,1,Transit,2016,Kepler,5.11177904,0.0593,3.05,9.53,0,1351,,6846,1.88,1.54,0.06,4.08,903.51,13.374,12.058,13.2803
Kepler-1519 b,Kepler-1519,1,1,Transit,2016,Kepler,240.7989397,0.7655,7.06,39.6,0,342,,5644,0.91,0.94,-0.07,4.5,1441.63,15.124,13.189,14.8034
Kepler-152 b,Kepler-152,1,2,Transit,2014,Kepler,18.207973,0.124,2.79,8.2,0,551,,5088,0.72,0.83,-0.16,4.61,441.09,14.379,12.301,14.2437
Kepler-152 c,Kepler-152,1,2,Transit,2014,Kepler,88.255055,0.356,2.39,6.3,0,326,,5088,0.72,0.83,-0.16,4.61,441.09,14.379,12.301,14.2437
Kepler-1520 b,Kepler-1520,1,1,Transit,2016,Kepler,0.65355357,0.0129,5.77,28.1,0,1437,,4677,0.71,0.76,0.04,4.61,607.917,16.002,13.319,15.6932
Kepler-1521 b,Kepler-1521,1,1,Transit,2016,Kepler,47.14840805,0.2317,2.5,6.8,0,391,,5042,0.76,0.81,-0.05,4.59,206.983,13.049,10.84,12.8476
Kepler-1522 b,Kepler-1522,1,1,Transit,2016,Kepler,1.84788917,0.0288,1.73,3.64,0,1374,,5706,0.93,0.96,-0.07,4.49,814.125,14.357,12.621,14.1963
Kepler-1523 b,Kepler-1523,1,1,Transit,2016,Kepler,0.93875077,0.0185,1.58,3.12,0,1676,,5708,0.96,0.97,0,4.46,865.596,14.993,13.182,14.8369
Kepler-1524 b,Kepler-1524,1,1,Transit,2016,Kepler,70.9674603,0.3392,3.54,12.3,0,438,,6179,1.25,1.17,0.04,4.31,381.773,12.802,11.263,12.7003
Kepler-1525 b,Kepler-1525,1,1,Transit,2016,Kepler,2.41660118,0.036,0.91,0.693,0,1343,,5748,1.04,1.07,0.27,4.44,382.989,12.797,11.193,12.6919
Kepler-1526 b,Kepler-1526,1,1,Transit,2016,Kepler,3.908632,0.0418,2.43,6.48,0,787,,4601,0.69,0.73,-0.01,4.62,555.574,15.935,13.208,15.6551
Kepler-1527 b,Kepler-1527,1,1,Transit,2016,Kepler,160.129918,0.6276,4.77,20.4,0,450,,6224,1.32,1.21,0.07,4.27,1842.13,15.161,13.617,15.0782
Kepler-1528 b,Kepler-1528,1,1,Transit,2016,Kepler,1.79111021,0.0296,1.46,2.73,0,1549,,5857,1.03,1.03,0.03,4.43,817.534,14.576,13.032,14.4764
Kepler-1529 b,Kepler-1529,1,1,Transit,2016,Kepler,5.33905686,0.0525,2.1,5.06,0,817,,5048,0.77,0.81,-0.03,4.58,661.014,15.297,13.257,15.3885
Kepler-153 b,Kepler-153,1,2,Transit,2014,Kepler,18.870227,0.129,2.92,8.85,0,621,,5404,0.89,0.83,-0.12,4.45,459.368,14.388,12.418,14.2493
Kepler-153 c,Kepler-153,1,2,Transit,2014,Kepler,46.90232,0.237,2.53,6.94,0,458,,5404,0.89,0.83,-0.12,4.45,459.368,14.388,12.418,14.2493
Kepler-1530 b,Kepler-1530,1,2,Transit,2016,Kepler,2.5904434,0.0371,1.64,3.33,0,1484,,5477,0.88,0.92,0.03,4.52,489.876,14.15,12.3,14.0055
Kepler-1530 c,Kepler-1530,1,2,Transit,2016,Kepler,5.3227406,0.06,1.65,3.36,0,1167,,5477,0.88,0.92,0.03,4.52,489.876,14.15,12.3,14.0055
Kepler-1531 b,Kepler-1531,1,1,Transit,2016,Kepler,1.13854338,0.022,1.11,1.41,0,2537,,6260,1.27,1.16,-0.03,4.29,666.334,13.202,11.772,13.1712
Kepler-1532 b,Kepler-1532,1,1,Transit,2016,Kepler,1.09366356,0.0206,1.35,2.39,0,1681,,5559,0.88,0.91,-0.1,4.51,798.246,15.293,13.23,14.8028
Kepler-1533 b,Kepler-1533,1,1,Transit,2016,Kepler,308.5471,0.9625,3.46,11.8,0,330,,6431,1.51,1.31,0.03,4.2,966.801,13.289,11.926,13.1678
Kepler-1534 b,Kepler-1534,1,1,Transit,2016,Kepler,5.71668872,0.0599,1.89,4.23,0,955,,5442,0.86,0.9,-0.01,4.52,1107,16.429,13.93,16.2352
Kepler-1535 b,Kepler-1535,1,1,Transit,2016,Kepler,138.9442,0.5329,2.55,7.04,0,384,,6021,1.11,1.08,0,4.38,897.733,14.385,12.744,14.1798
Kepler-1536 b,Kepler-1536,1,1,Transit,2016,Kepler,364.758031,0.8507,3.14,10,0,166,,4434,0.67,0.71,0.05,4.64,387.248,15.464,12.55,15.1407
Kepler-1537 b,Kepler-1537,1,1,Transit,2016,Kepler,1.4444538,0.0245,1.18,1.76,0,1800,,5079,0.77,0.81,-0.08,4.58,517.292,14.827,12.519,14.5457
Kepler-1538 b,Kepler-1538,1,1,Transit,2016,Kepler,175.138819,0.6095,2.82,8.35,0,346,,5837,1.03,1.03,0.02,4.42,1125.3,15.551,13.751,15.2279
Kepler-1539 b,Kepler-1539,1,1,Transit,2016,Kepler,133.3036741,0.4765,2.7,7.75,0,301,,5176,0.8,0.84,-0.01,4.57,748.326,15.487,13.382,15.3085
Kepler-154 b,Kepler-154,1,5,Transit,2014,Kepler,33.040532,0.198,2.26,5.73,0,561,,5690,1,0.98,-0.04,4.42,915.212,14.646,12.986,14.5121
Kepler-154 c,Kepler-154,1,5,Transit,2014,Kepler,62.303276,0.303,2.95,9.01,0,454,,5690,1,0.98,-0.04,4.42,915.212,14.646,12.986,14.5121
Kepler-154 d,Kepler-154,1,5,Transit,2016,Kepler,20.54981883,0.1415,3.84,14.1,0,657,,5769,0.98,0.98,-0.04,4.45,915.212,14.646,12.986,14.5121
Kepler-154 e,Kepler-154,1,5,Transit,2016,Kepler,3.93276465,0.047,1.5,2.86,0,1140,,5769,0.98,0.98,-0.04,4.45,915.212,14.646,12.986,14.5121
Kepler-154 f,Kepler-154,1,5,Transit,2016,Kepler,9.91935684,0.0871,1.5,2.86,0,838,,5769,0.98,0.98,-0.04,4.45,915.212,14.646,12.986,14.5121
Kepler-1540 b,Kepler-1540,2,1,Transit,2016,Kepler,125.4131177,0.4426,2.49,6.76,0,266,,4540,0.69,0.74,0.1,4.63,244.96,14.429,11.519,14.0831
Kepler-1541 b,Kepler-1541,1,1,Transit,2016,Kepler,8.40691199,0.0781,1.16,1.65,0,1048,,5282,0.81,0.86,-0.04,4.56,416.692,13.944,11.927,13.7908
Kepler-1542 b,Kepler-1542,1,4,Transit,2016,Kepler,3.95116882,0.0479,0.76,0.363,0,1160,,5564,0.99,0.94,0.06,4.41,399.114,12.734,10.989,12.5876
Kepler-1542 c,Kepler-1542,1,4,Transit,2016,Kepler,2.89223021,0.0389,0.65,0.208,0,1287,,5564,0.99,0.94,0.06,4.41,399.114,12.734,10.989,12.5876
Kepler-1542 d,Kepler-1542,1,4,Transit,2016,Kepler,5.99273738,0.0632,0.87,0.59,0,1010,,5564,0.99,0.94,0.06,4.41,399.114,12.734,10.989,12.5876
Kepler-1542 e,Kepler-1542,1,4,Transit,2016,Kepler,5.10115756,0.0567,0.76,0.363,0,1065,,5564,0.99,0.94,0.06,4.41,399.114,12.734,10.989,12.5876
Kepler-1543 b,Kepler-1543,1,1,Transit,2016,Kepler,6.96710269,0.0867,2.71,7.8,0,1774,,6561,1.65,1.39,0.07,4.14,921.784,13.495,12.291,13.4193
Kepler-1544 b,Kepler-1544,1,1,Transit,2016,Kepler,168.811174,0.5421,1.78,3.82,0,269,,4886,0.74,0.81,0.02,4.61,335.09,14.287,11.903,14.039
Kepler-1545 b,Kepler-1545,1,1,Transit,2016,Kepler,163.692349,0.5442,2.7,7.75,0,274,,5201,0.8,0.84,-0.06,4.57,729.964,15.256,13.139,15.0334
Kepler-1546 b,Kepler-1546,1,1,Transit,2016,Kepler,19.5974971,0.1366,3.13,9.96,0,671,,5623,0.93,0.95,0.01,4.48,931.956,15.596,13.511,15.368
Kepler-1547 b,Kepler-1547,1,1,Transit,2016,Kepler,0.69297968,0.0165,0.9,0.666,0,3186,,6078,1.18,1.12,0.04,4.34,674.695,13.464,11.996,13.4085
